id,paras
ASH14_Dval_m_260522,1
ASH14_Dval_m_dd0623,4
ASH1501_Dval_f_240523,3
ASH1501_Dval_m_240523,2
ASH150_Dval_m_270522,3
ASH151_Dval_m_270523,4
ASH152_Dval_m_070722,3
ASH152_Dval_m_270522,6
ASH153_Darm_f_270522,3
ASH154_Darm_f_270522,1
ASH15_Darm_f_260722,10
ASH15_Dval_sex_060722,5
ASH1_Dval_f_260522,2
ASH200.1_Darm_f_240523,2
ASH2000_Darm_f_240523,3
ASH2000_Dval_f_dd0623,1
ASH2000_Dval_m_240523,2
ASH200_Darm_f_240523,0
ASH201_Darm_f_270522,3
ASH20_Dval_m_070722,1
ASH210_Darm_f_070722,8
ASH210_Darm_f_270522,0
ASH211_Darm_f_250523,6
ASH211_Darm_f_dd0623,2
ASH212_Darm_f_270522,1
ASH213_Darm_f_270522,0
ASH214_Dval_f_090722,4
ASH21_Dval_m_dd0623,0
ASH231_Dval_m_080722,11
ASH23_Darm_f_260522,11
ASH2400_Darm_f_250523,7
ASH240_Darm_f_dd0623,4
ASH241_Darm_f_090722,3
ASH241_Darm_f_270522,3
ASH241_Darm_f_dd0623,3
ASH252_Dval_f_dd0623,9
ASH253_Darm_f_280522,7
ASH254_Darm_f_dd0623,0
ASH255_Darm_f_dd0623,8
ASH25_Dval_m_150722,5
ASH300_Darm_f_280522,18
ASH302_Dval_m_280522,5
ASH304_Darm_f_070722,0
ASH304_Dval_f_280522,0
ASH311_Darm_f_dd0623,2
ASH312_Darm_f_dd0623,3
ASH320_Dval_f_280522,3
ASH321_Dval_f_dd0623,4
ASH322_Dval_f_280522,3
ASH322_Dval_f_dd0623,3
ASH323_Dval_f_dd0623,4
ASH324_Dval_m_070722,15
ASH324_Dval_m_280522,4
ASH325_Dval_f_dd0623,0
ASH325_Dval_m_080722,2
ASH330_Dval_m_080722,2
ASH330_Dval_m_dd0623,2
ASH331_Dval_m_080722,5
ASH331_Dval_m_dd0623,2
ASH332_Dval_f_280522,3
ASH340_Dval_m_280522,0
ASH341_Dval_m_250523,8
ASH342_Dval_m_240523,1
ASH353_Darm_f_240523,9
ASH355_Darm_f_dd0623,3
ASH400_Darm_f_280522,2
ASH400_Darm_f_dd0623,6
ASH40_Darm_f_dd0623,5
ASH410_Darm_f_090722,5
ASH412_Darm_f_240523,1
ASH414_Darm_f_240523,37
ASH414_Darm_f_dd0623,18
ASH41_Dval_f_260522,2
ASH424_Darm_f_dd0623,2
ASH424_Darm_f_ddmmyy,0
ASH432_Dval_f_dd0623,1
ASH433_Dval_f_dd0623,8
ASH440_Dval_m_250523,2
ASH441_Dval_m_080722,3
ASH44_Darm_f_260522,6
ASH45+50_Dval_m_250523,4
ASH45+50_Dval_m_dd0623,5
ASH450_Darm_f_dd0623,12
ASH452_Darm_f_250523,2
ASH452_Darm_f_dd0623,6
ASH45_Dval_f_260522,6
ASH4_Dval_f_080722,7
ASH502_Dval_m_dd0623,9
ASH504_Darm_f_090722,9
ASH510_Darm_f_240523,3
ASH51_Dval_f_240523,7
ASH51_Dval_f_dd0623,7
ASH51_Dval_f_ddmmyy,2
ASH523_Dval_m_070722,0
ASH525_Darm_f_080722,6
ASH531_Dval_m_150722,5
ASH531_Dval_m_240523,0
ASH532_Dval_m_080722,2
ASH534_Dval_m_070722,8
ASH534_Dval_m_240523,7
ASH534_Dval_m_dd0623,8
ASH535_Dval_m_250523,2
ASH540_Darm_f_240523,2
ASH543+2400_Dval_m_dd0623,20
ASH545_Dval_m_dd0623,3
ASH5503+1200_Dval_m_080722,2
ASH550_Dval_m_dd0623,0
ASH551_Darm_f_dd0623,2
ASH552_Darm_f_dd0623,3
ASH554_Dval_m_250523,13
ASH555_Dval_m_070722,6
ASH555_Dval_m_dd0623,0
GG11_Dport_m_ddmmyy,9
GG12_Dport_m_ddmmyy,13
GG13_Dport_m_ddmmyy,51
GG14_Dport_m_ddmmyy,47
GG15_Dport_m_ddmmyy,11
GG16_Dport_m_ddmmyy,11
GG17_Dport_m_ddmmyy,9
